Local time,Open,High,Low,Close,Volume
11.09.2018 14:00:00.000 GMT-0400,182.797,183.228,182.648,183.038,19.7263
11.09.2018 15:00:00.000 GMT-0400,183.048,183.178,182.907,183.098,18.7991
11.09.2018 16:00:00.000 GMT-0400,183.098,183.098,183.098,183.098,0
11.09.2018 17:00:00.000 GMT-0400,183.098,183.098,183.098,183.098,0
11.09.2018 18:00:00.000 GMT-0400,183.098,183.098,183.098,183.098,0
11.09.2018 19:00:00.000 GMT-0400,183.098,183.098,183.098,183.098,0
11.09.2018 20:00:00.000 GMT-0400,183.098,183.098,183.098,183.098,0
11.09.2018 21:00:00.000 GMT-0400,183.098,183.098,183.098,183.098,0
11.09.2018 22:00:00.000 GMT-0400,183.098,183.098,183.098,183.098,0
11.09.2018 23:00:00.000 GMT-0400,183.098,183.098,183.098,183.098,0
12.09.2018 00:00:00.000 GMT-0400,183.098,183.098,183.098,183.098,0
12.09.2018 01:00:00.000 GMT-0400,183.098,183.098,183.098,183.098,0
12.09.2018 02:00:00.000 GMT-0400,183.098,183.098,183.098,183.098,0
12.09.2018 03:00:00.000 GMT-0400,183.098,183.098,183.098,183.098,0
12.09.2018 04:00:00.000 GMT-0400,183.098,183.098,183.098,183.098,0
12.09.2018 05:00:00.000 GMT-0400,183.098,183.098,183.098,183.098,0
12.09.2018 06:00:00.000 GMT-0400,183.098,183.098,183.098,183.098,0
12.09.2018 07:00:00.000 GMT-0400,183.098,183.098,183.098,183.098,0
12.09.2018 08:00:00.000 GMT-0400,183.098,183.098,183.098,183.098,0
12.09.2018 09:00:00.000 GMT-0400,182.847,182.968,181.987,181.987,22.3679
12.09.2018 10:00:00.000 GMT-0400,181.987,182.408,180.997,181.257,37.4224
12.09.2018 11:00:00.000 GMT-0400,181.268,182.758,181.187,181.548,35.6163
12.09.2018 12:00:00.000 GMT-0400,181.548,182.458,181.528,182.188,25.9309
12.09.2018 13:00:00.000 GMT-0400,182.187,182.678,182.047,182.177,26.1462
12.09.2018 14:00:00.000 GMT-0400,182.187,182.278,181.807,182.037,26.3036
12.09.2018 15:00:00.000 GMT-0400,182.038,182.688,182.037,182.588,22.6864
12.09.2018 16:00:00.000 GMT-0400,182.588,182.588,182.588,182.588,0
12.09.2018 17:00:00.000 GMT-0400,182.588,182.588,182.588,182.588,0
12.09.2018 18:00:00.000 GMT-0400,182.588,182.588,182.588,182.588,0
12.09.2018 19:00:00.000 GMT-0400,182.588,182.588,182.588,182.588,0
12.09.2018 20:00:00.000 GMT-0400,182.588,182.588,182.588,182.588,0
12.09.2018 21:00:00.000 GMT-0400,182.588,182.588,182.588,182.588,0
12.09.2018 22:00:00.000 GMT-0400,182.588,182.588,182.588,182.588,0
12.09.2018 23:00:00.000 GMT-0400,182.588,182.588,182.588,182.588,0
13.09.2018 00:00:00.000 GMT-0400,182.588,182.588,182.588,182.588,0
13.09.2018 01:00:00.000 GMT-0400,182.588,182.588,182.588,182.588,0
13.09.2018 02:00:00.000 GMT-0400,182.588,182.588,182.588,182.588,0
13.09.2018 03:00:00.000 GMT-0400,182.588,182.588,182.588,182.588,0
13.09.2018 04:00:00.000 GMT-0400,182.588,182.588,182.588,182.588,0
13.09.2018 05:00:00.000 GMT-0400,182.588,182.588,182.588,182.588,0
13.09.2018 06:00:00.000 GMT-0400,182.588,182.588,182.588,182.588,0
13.09.2018 07:00:00.000 GMT-0400,182.588,182.588,182.588,182.588,0
13.09.2018 08:00:00.000 GMT-0400,182.588,182.588,182.588,182.588,0
